Comment,Link,Name,Rating,Reviews Count,Speciality
"Great doctor. Very knowledgeable.Is really easy to talk with,wonderful with kids.",ratemds.com/doctor-ratings/1037875/Dr-Purchit+V.-Lacuesta-Chicago-IL.html,Dr. Purchit V. Lacuesta,4.5,1,Family Doctor / G.P.
She is wonderful. She is ver patient and knowledgable.,ratemds.com/doctor-ratings/2246407/Dr-CHRISTINE+L.-SCHWARTZ+PETERSON-CHICAGO-IL.html,Dr. Christine L. Schwartz Peterson,4.5,1,Family Doctor / G.P.
"Dr. Brian is friendly and energetic. He is efficient but not to the point of being rushed, and he gave me some samples to see if a particular script would work or no... Read more",ratemds.com/doctor-ratings/477379/Dr-Brian-Casaclang-Chicago-IL.html,Dr. Brian Casaclang,4.5,1,Family Doctor / G.P.
I had a full battery of blood work done. He was very friendly and thorough. Only problem was I had to wait for about 45 minutes past my scheduled time.,ratemds.com/doctor-ratings/66780/Dr-Daniel+C.-Shin-Chicago-IL.html,Dr. Daniel C. Shin,4.5,1,Family Doctor / G.P.
"I have to rate her as low as possible. She shouldn't even be a doctor, and no, this is not a joke. She couldn't figure out what disease I had, so she lied on her pap... Read more",ratemds.com/doctor-ratings/3246614/Dr-JILLIAN+S.-MOSHAY-Chicago-IL.html,Dr. Jillian S. Moshay,3,3,Family Doctor / G.P.
He is an amazing physician. I have seen him a couple of times since 2012.,ratemds.com/doctor-ratings/3154098/Dr-JONATHAN+C.-ALDE-Chicago-IL.html,Dr. Jonathan C. Alde,2.6,5,Family Doctor / G.P.
Very knowlegable and takes time to make u understand in simple language.,ratemds.com/doctor-ratings/3244341/Dr-KALPESH+P.-BHESANIYA-Chicago-IL.html,Dr. Kalpesh P. Bhesaniya,4.25,1,Family Doctor / G.P.
Wonderful doctor. Very knowledgeable.Easy to talk with.,ratemds.com/doctor-ratings/472677/Dr-Efthymia+P.-Papanastassiou-Chicago-IL.html,Dr. Efthymia P. Papanastassiou,4.25,1,Family Doctor / G.P.
very friendly and knowlegeble doc,ratemds.com/doctor-ratings/479979/Dr-Rodrigo+F.-Endara-Chicago-IL.html,Dr. Rodrigo F. Endara,4.25,1,Family Doctor / G.P.
I have been going to Dr. Taylor for years and I love seeing her because she is a very smart black woman who is here to help the community. I have always felt comfort... Read more,ratemds.com/doctor-ratings/403799/Dr-Karen+E.-Taylor-Chicago-IL.html,Dr. Karen E. Taylor,4.25,1,Family Doctor / G.P.
"Good doctor, he has one medical assistant at the front desk, who is, quite frankly an idiot. You'll know her when she speaks.",ratemds.com/doctor-ratings/125543/Dr-Noel+Estacio-LaSala-Chicago-IL.html,Dr. Noel Estacio LaSala,4.5,2,Family Doctor / G.P.
"Very good doctor, she will hear you out and offer best advice as well as do everything to help you get better. A little behind in getting back to patients about tes... Read more",ratemds.com/doctor-ratings/142349/Dr-Marzena-Lipinska-Chicago-IL.html,Dr. Marzena Lipinska,4.25,1,Family Doctor / G.P.
dr. lynch is never punctual i would have to wait 30minutes and one time even an hr. for my son to be attended for a scheduled check up. And everytime my son was actu... Read more,ratemds.com/doctor-ratings/478654/Dr-Katherine+D.-Lynch-Chicago-IL.html,Dr. Katherine D. Lynch,3.25,2,Family Doctor / G.P.
"Found Dr. Zeiger through this site and visited end of 2013. The doctor was about 45 mins late getting in for the day. After telling Dr. Zeiger of lower back pain, ... Read more",ratemds.com/doctor-ratings/663397/Dr-David+J.-Zeiger-CHICAGO-IL.html,Dr. David J. Zeiger,3.25,2,Family Doctor / G.P.
My 4 year old son started with Martha. She was constantly over booked extremely curt and should not be working with children. Every time we left I had a pit in my st... Read more,ratemds.com/doctor-ratings/1037852/Dr-Martha+H.-Howard-Chicago-IL.html,Dr. Martha H. Howard,2.83,3,Family Doctor / G.P.
The best Dr I've ever seen. She doesn't try to prescribe medication for everything and takes the most conservative course of action. She takes the time to talk eve... Read more,ratemds.com/doctor-ratings/739811/Dr-Moira+E.-McQuillan-Chicago-IL.html,Dr. Moira E. McQuillan,3.13,2,Family Doctor / G.P.
"Helpful, knowledgeable, professional and kind.",ratemds.com/doctor-ratings/188124/Dr-Augustine+J.-Sohn-Chicago-IL.html,Dr. Augustine J. Sohn,4,1,Family Doctor / G.P.
"personable, smart, conscientious. I am completely satisfied with her as my primary care provider.",ratemds.com/doctor-ratings/3648350/Dr-CHRISTINA+D.-WELLS-Chicago-IL.html,Dr. Christina D. Wells,4,1,Family Doctor / G.P.
Dr Schueneman is a very tell it like it is person. But she finds a way to have a compassionate sternness that keeps you very aware of your medical situations but al... Read more,ratemds.com/doctor-ratings/1037969/Dr-Gina+M.-Schueneman-Chicago-IL.html,Dr. Gina M. Schueneman,4,1,Family Doctor / G.P.
Dr Beata bednarska has been our family Dr for many years.....and I absolutely recommend her to all my family and friends. She does over the top work on families an... Read more,ratemds.com/doctor-ratings/479985/Dr-Beata+S.-Bednarska-Chicago-IL.html,Dr. Beata S. Bednarska,2.75,3,Family Doctor / G.P.
"very proffesional and caring, would recommend to others.",ratemds.com/doctor-ratings/125183/Dr-Linda-Henriksen-Chicago-IL.html,Dr. Linda Henriksen,3.08,5,Family Doctor / G.P.
She is one of the best doctor's that I have ever had!,ratemds.com/doctor-ratings/3309760/Dr-LILIA-DELEON-Chicago-IL.html,Dr. Lilia Deleon,3,2,Family Doctor / G.P.
"Incompetent, uncaring, selfish, gossipful physician.",ratemds.com/doctor-ratings/3815359/Dr-JOANNA+L.-KMIECIK-CHICAGO-IL.html,Dr. Joanna L. Kmiecik,3,2,Family Doctor / G.P.
"Great doctor! Always helpful, punctual and very professional doctor!",ratemds.com/doctor-ratings/477616/Dr-Carmen+A.-Sierra-Chicago-IL.html,Dr. Carmen A. Sierra,2.3,5,Family Doctor / G.P.
"Dr. Arons is a good doctor. I have been seeing him since 1995. He is conservative with his prescription pad, which is a good thing.",ratemds.com/doctor-ratings/194755/Dr-James+M.-Arons-Chicago-IL.html,Dr. James M. Arons,3.75,1,Family Doctor / G.P.
Impossible to get referral for the specialist. Like many other doctors if he does not know the cause of the pain he explains it with anxiety. I would not recommend t... Read more,ratemds.com/doctor-ratings/405230/Dr-Thomas+W.-Sweder-Chicago-IL.html,Dr. Thomas W. Sweder,2.58,3,Family Doctor / G.P.
"DR. Marchel does not care about his patient’s health. He will bill the insurance, or charge the patient’s for his services which let’s say are not in the patient’s ... Read more",ratemds.com/doctor-ratings/477150/Dr-Ryszard-Marchel-Orland+Park-IL.html,Dr. Ryszard Marchel,2.5,3,Family Doctor / G.P.
Overall I had a great experience during my visit with Dr. Kowalczyk. ,ratemds.com/doctor-ratings/1038949/Dr-Marian-Kowalczyk-Chicago-IL.html,Dr. Marian Kowalczyk,2.5,3,Family Doctor / G.P.
"He is a great doctor no doubt about that, but his staff is the worst. You can be dying and they would make you do an appointment till the next week. If you want to t... Read more",ratemds.com/doctor-ratings/3508158/Dr-Estfen-Roy-Chicago-IL.html,Dr. Estfen Roy,3.5,1,Family Doctor / G.P.
This doctor needs to not get an attitude just because the patient has some questions. Very unprofessional.,ratemds.com/doctor-ratings/2579474/Dr-JAROM-DASZKO-Sacramento-CA.html,Dr. Jarom Daszko,3.5,1,Family Doctor / G.P.
"My daughters and I have been his patient for years, he is an awesome Doctor very patient and thorough. My last few visits were horrible the staff has gone from the b... Read more",ratemds.com/doctor-ratings/51337/Dr-Mohammed+A.-Kaiseruddin-Chicago-IL.html,Dr. Mohammed A. Kaiseruddin,2.25,2,Family Doctor / G.P.
"Dr. Vidovic did not write me a new prescription when I became her patient and continually requested refills from my previous physician, causing constant confusion on... Read more",ratemds.com/doctor-ratings/146001/Dr-Marina-Vidovic-CHICAGO-IL.html,Dr. Marina Vidovic,2.25,4,Family Doctor / G.P.
He is a rude and shallow doctor. Very arrogant. I was in the hospital and he did not see me everyday like a normal doctor would. Will find another primary.,ratemds.com/doctor-ratings/478099/Dr-Derek+J.-Kelly-Chicago-IL.html,Dr. Derek J. Kelly,2,6,Family Doctor / G.P.
"The Doctor is great. Staff is horrible, they never call you to remind you about your appointment and they never call you back. Hard to get in contact with anyone in ... Read more",ratemds.com/doctor-ratings/1215417/Dr-Anna-Morgan-Chicago-IL.html,Dr. Anna Morgan,2,6,Family Doctor / G.P.
"Went to see Dr Ivanchenko for acute low back pain after a friend recommended their office. My first visit included a short interview, a therapeutic massage, and then... Read more",ratemds.com/doctor-ratings/198484/Dr-Andrew-Ivanchenko-CHICAGO-IL.html,Dr. Andrew Ivanchenko,2.19,4,Family Doctor / G.P.
Terrible experience. I was the first appointment of the day and still had to wait about 30 minutes to see the doctor. The room was filthy and the doctor refused to a... Read more,ratemds.com/doctor-ratings/137544/Dr-Susan-Haido-Chicago-IL.html,Dr. Susan Haido,1.92,6,Family Doctor / G.P.
"i saw dr.chase for pregnancy. she seemed very kind, and caring. however, she didnt tell me that my pregnancy wasnt viable for two weeks, & to add insult to injury sh... Read more",ratemds.com/doctor-ratings/1215540/Dr-Natalie-McGammon-Chase-Chicago-IL.html,Dr. Natalie McGammon-Chase,3.25,1,Family Doctor / G.P.
"An OK family doctor, but gave poor/unhelpful referrals. Unaccommodating office hours for 9-5ers.",ratemds.com/doctor-ratings/478947/Dr-Alfredo+P.-Sy-Chicago-IL.html,Dr. Alfredo P. Sy,3.25,1,Family Doctor / G.P.
I was a patient for years. She delivered one of my children. Great person but not always available for appointments which is why I left. Could stand to listen more a... Read more,ratemds.com/doctor-ratings/493539/Dr-Sandra+L.-Hoogland-Chicago-IL.html,Dr. Sandra L. Hoogland,3.25,1,Family Doctor / G.P.
I am writing this rating for my mom. She was Dr. Wu's patient for many years. She had an ovarian tumor/cyst that grew weighing 6 Lbs and Dr. Wu never diagnosed the p... Read more,ratemds.com/doctor-ratings/478203/Dr-Alexander+M.-Wu-Chicago-IL.html,Dr. Alexander M. Wu,3,1,Family Doctor / G.P.
"So...she's hardly ever on time. So... she is not the best doctor ever. BUT, if you already know what you need, and you just need to cross the legal barrier to get a ... Read more",ratemds.com/doctor-ratings/40190/Dr-Norma+V.-Paraiso-CHICAGO-IL.html,Dr. Norma V. Paraiso,2.25,2,Family Doctor / G.P.
Doctor has a bad attiude and makes you feel like your always in a rush.,ratemds.com/doctor-ratings/2601342/Dr-INDIRA-SHAH-Chicago-IL.html,Dr. Indira Shah,3,1,Family Doctor / G.P.
Don't know why other people are claiming to have problems here. Been with her for a long time and never a problem. Staff is pretty good too.,ratemds.com/doctor-ratings/6728/Dr-Dorothy+Z.-Warzocha-Chicago-IL.html,Dr. Dorothy Z. Warzocha,2.17,3,Family Doctor / G.P.
"Good Dr, easy to talk to, easy going but wait time is overwhelming",ratemds.com/doctor-ratings/480094/Dr-Pedro+A.-Reyes-Chicago-IL.html,Dr. Pedro A. Reyes,2.25,2,Family Doctor / G.P.
"I posted the below review about Dr. McCalls partner, Dr. Mahr. Since i assume they share the same billing staff, and Dr. McCall was the one that said not to worry ab... Read more",ratemds.com/doctor-ratings/477105/Dr-Alan+R.-McCall-Chicago-IL.html,Dr. Alan R. McCall,2.13,2,Family Doctor / G.P.
She was the dr for my sister who had multiple health problems. She was hospitalized a second time for pneumonia and she told my mother if it happens again not to br... Read more,ratemds.com/doctor-ratings/198228/Dr-Elizabeth-Pulawski-Chicago-IL.html,Dr. Elizabeth Pulawski,1.41,8,Family Doctor / G.P.
Staff is constantly changing and not always professional. Overall this doctor is just ok. Doesn't always think outside the box and seems to be reluctant to give refe... Read more,ratemds.com/doctor-ratings/472920/Dr-Rakhshanda+M.-Munir-Chicago-IL.html,Dr. Rakhshanda M. Munir,2.5,1,Family Doctor / G.P.
"This doctor is an older knowledgeable doctor who will see you however, he is not helpful one bit. You can tell him whats wrong and all the pain your in however when ... Read more",ratemds.com/doctor-ratings/2746245/Dr-George-MICHAEL-Chicago-IL.html,Dr. George MICHAEL,2.5,1,Family Doctor / G.P.
"Unwilling to listen to questions. Refused to provide test results (simply said ""don't worry about it""). Made no attempt to help me understand my condition or prognos... Read more",ratemds.com/doctor-ratings/188625/Dr-Jeffrey+C.-Rubin-CHICAGO-IL.html,Dr. Jeffrey C. Rubin,2.5,1,Family Doctor / G.P.
needs to be more attentive to families,ratemds.com/doctor-ratings/146354/Dr-Mark-Vezelman-Chicago-IL.html,Dr. Mark Vezelman,2.5,1,Family Doctor / G.P.
"I don't recommend this doctor. Not dependable, not returning phone calls, rude and unprofessional.",ratemds.com/doctor-ratings/3563266/Dr-KATHRYN-SKOLARZ-CHICAGO-IL.html,Dr. Kathryn Skolarz,1.45,5,Family Doctor / G.P.
Money minded doctor. Lots of money waste visiting him. Suprisingly his office is crowded always despite of this greedyness.,ratemds.com/doctor-ratings/17600/Dr-Inder+Paul-Singh-CHICAGO-IL.html,Dr. Inder Paul Singh,2.13,4,Family Doctor / G.P.
Not a very warm or caring doctor. Seems to ignore patient symptoms. Did not seem as concerned about the preservation of the upper airway therefore I canceled a pro... Read more,ratemds.com/doctor-ratings/480516/Dr-Michael+H.-Friedman-Chicago-IL.html,Dr. Michael H. Friedman,1.88,2,Family Doctor / G.P.
"Absolutely horrible this woman who claims to be a doctor certainly sounds A LOT like a lobbyist. We all know soda isn't good for u, but to ""lobby"" for the tax is not... Read more",ratemds.com/doctor-ratings/2660048/Dr-JAVETTE+C.-ORGAIN-Chicago-IL.html,Dr. Javette C. Orgain,1.88,2,Family Doctor / G.P.
"Was very judgmental about my concerns, wouldn't listen to what I had to say.",ratemds.com/doctor-ratings/3119140/Dr-JUWARIA+O.-SIDDIQUI-Chicago-IL.html,Dr. Juwaria O. Siddiqui,2.25,1,Family Doctor / G.P.
Makes appoinments but it's a first come first served system. I would make an appointment for as soon as his hours would start but often people with later appoinments... Read more,ratemds.com/doctor-ratings/161031/Dr-Pitu+G.-Punjabi-Chicago-IL.html,Dr. Pitu G. Punjabi,2.25,1,Family Doctor / G.P.
"I have seen quite a few doctors in my time but due to HMO, I had to switch to Dr. Arana. First of all he has very bad time management. I was scheduled to see h... Read more",ratemds.com/doctor-ratings/171957/Dr-Enrique+A.-Arana-CHICAGO-IL.html,Dr. Enrique A. Arana,2.25,1,Family Doctor / G.P.
"I've gone to this doctor several times over the last few years and yesterday was my last visit. Every time I go there, she has no clue how to diagnose me. She sugg... Read more",ratemds.com/doctor-ratings/3266848/Dr-SYEDA+H.-ZAHEDI-Chicago-IL.html,Dr. Syeda H. Zahedi,1.67,3,Family Doctor / G.P.
"I took my 17-y-o daughter to “Dr” Djurisic for extreme menstrual symptoms, migraines, frequent nausea, dizziness, and occasional fainting. Tamara treated her like an... Read more",ratemds.com/doctor-ratings/125874/Dr-Tamara-Djurisic-Chicago-IL.html,Dr. Tamara Djurisic,3.13,4,Family Doctor / G.P.
He spent 5 mintues with me for my physical--was more interested in me filling out a computer form. He is worthless. I can't believe Northshore hospital keeps him,ratemds.com/doctor-ratings/2560153/Dr-CURTIS+G.-MANN-Chicago-IL.html,Dr. Curtis G. Mann,1.75,2,Family Doctor / G.P.
"Not to be harsh, but I think she's just to old to be practicing. I asked her questions and she was very short and slow in her responses. Her reaction time was slow ... Read more",ratemds.com/doctor-ratings/493592/Dr-Carolyn+C.-Lopez-Chicago-IL.html,Dr. Carolyn C. Lopez,2,1,Family Doctor / G.P.
I made an appointment to see this doctor but was turned down when I came to the office. They told me that I needed to switch my primary pyhsician to be able to see h... Read more,ratemds.com/doctor-ratings/3279660/Dr-SHARYL+J.-TRUTY-Chicago-IL.html,Dr. Sharyl J. Truty,2,1,Family Doctor / G.P.
She did not conduct a thorough H&P. She prescribed a drug without telling the patient. I had to learn about it on the Office Summary print out. She is not very smar... Read more,ratemds.com/doctor-ratings/3216707/Dr-MAYURI-DASARI-Chicago-IL.html,Dr. Mayuri Dasari,2,1,Family Doctor / G.P.
this guy is a joke.been going there for three weeks and still can't figure the problem with my back and leg,ratemds.com/doctor-ratings/1037800/Dr-Scott+A.-Cole-Chicago-IL.html,Dr. Scott A. Cole,2,1,Family Doctor / G.P.
This health faculity is not reliable and very rude,ratemds.com/doctor-ratings/493518/Dr-Sandy+Y.-Gibson-Chicago-IL.html,Dr. Sandy Y. Gibson,2,1,Family Doctor / G.P.
Dr. David Roque is a quack. Would go to him periodically because he would cure what was ailing me. I didn't mind his no nonsense attitude because i wanted him to be ... Read more,ratemds.com/doctor-ratings/24795/Dr-David+L.-Roque-Chicago-IL.html,Dr. David L. Roque,2.33,6,Family Doctor / G.P.
Hello i would like to tell you my bad experience i had with Dr Jaun Matoya a doctor i have been seeing for 2 years now. Ive been under paxil 40MG for 12 years becau... Read more,ratemds.com/doctor-ratings/3241903/Dr-Juan+P.-MONTOYA-Chicago-IL.html,Dr. Juan P. MONTOYA,1.75,1,Family Doctor / G.P.
Misdiagnosed me. I went to another doctor for a second opinion and Dr Piotrowski was totally wrong. ,ratemds.com/doctor-ratings/3374822/Dr-Miroslaw-Piotrowski-Chicago-IL.html,Dr. Miroslaw Piotrowski,1.75,1,Family Doctor / G.P.
"Stay as far away from the medical practitioners (?) at Metcare as you can. In the year and a half I visited these clowns I experienced levels of incompetence, inef... Read more",ratemds.com/doctor-ratings/3315806/Dr-Rene+S.-Vasquez-Chicago-IL.html,Dr. Rene S. Vasquez,1.75,1,Family Doctor / G.P.
"Dr. Anna Mianowska (Mia) is a disgrace to the medical community. She does not care about her patients, she only cares about money. She will often charge her Medicaid... Read more",ratemds.com/doctor-ratings/173919/Dr-Anna-Mianowska-Chicago-IL.html,Dr. Anna Mianowska,1.38,2,Family Doctor / G.P.
This Dr. is a fake I had an ear infection she told me I had water in my ear and to take some asprin. The she is rude.,ratemds.com/doctor-ratings/3202771/Dr-Sapana+H.-Rana-Chicago-IL.html,Dr. Sapana H. Rana,1.5,1,Family Doctor / G.P.
My wife got admitted to the hospital around 3AM. And Dr. Sunita Rembarsu was the on-call doctor. We asked the nurse right away is someting could be done for my wifes... Read more,ratemds.com/doctor-ratings/2945665/Dr-SUNITA-REMBARSU-Chicago-IL.html,Dr. Sunita Rembarsu,1.5,1,Family Doctor / G.P.
"Always late, waited hours for patient care. Overbooked and waiting room was scary.",ratemds.com/doctor-ratings/472036/Dr-Ayman+M.-Jabr-Chicago-IL.html,Dr. Ayman M. Jabr,1.5,1,Family Doctor / G.P.
"dr. edelson is very personable, friendly and most importantly thorough and informed. i recommend him to anyone who is in search of an awesome general practictioner.",ratemds.com/doctor-ratings/24107/Dr-Sheldon-Edelson-CHICAGO-IL.html,Dr. Sheldon Edelson,4.5,2,Family Doctor / G.P.
Not very personable. I needed a specialist but instead of referring me to one she said that I should search for one. I never returned.,ratemds.com/doctor-ratings/37637/Dr-Silvana-Shliapochnik-Chicago-IL.html,Dr. Silvana Shliapochnik,2.67,1,Family Doctor / G.P.
During my visit I felt that I was treated well.I would most likely recommend this doctor to my family and friends.I felt this visit was a big help.Overall I would ra... Read more,ratemds.com/doctor-ratings/126042/Dr-Teresa-Cvengros-Chicago-IL.html,Dr. Teresa Cvengros,4,1,Family Doctor / G.P.
He's an exellent Doctor,ratemds.com/doctor-ratings/102355/Dr-Ceazary-Kakol-Chicago-IL.html,Dr. Ceazary Kakol,5,1,Family Doctor / G.P.
Great Doctor !!!,ratemds.com/doctor-ratings/125807/Dr-Larissa-Berestenko-Chicago-IL.html,Dr. Larissa Berestenko,5,1,Family Doctor / G.P.
Great guy. Been my doctor for 15+ years. We're at a point where I call and say what's wrong with me and then the prescription is waiting at Walgreen's. For more diff... Read more,ratemds.com/doctor-ratings/3212/Dr-David+B.-Levy-Chicago-IL.html,Dr. David B. Levy,4,1,Family Doctor / G.P.
Good Doctor.,ratemds.com/doctor-ratings/24131/Dr-Simon-Gewolb-Chicago-IL.html,Dr. Simon Gewolb,4,1,Family Doctor / G.P.
"Dr. Finder is a very sweet, new doctor. I feel very comfortable with her. She has a wonderful bedside manner and knows how to make sure her patients feel comfortable... Read more",ratemds.com/doctor-ratings/21324/Dr-Dorian+R.-Finder-Chicago-IL.html,Dr. Dorian R. Finder,5,1,Family Doctor / G.P.
"Great doctor, great person. Smart, humble, available.",ratemds.com/doctor-ratings/21223/Dr-Connell-Chicago-IL.html,Dr. Connell,5,1,Family Doctor / G.P.
Very professional and approachable. Listened to me and gave advice. His care is very affordable but by no means compromised. Highly recommend.,ratemds.com/doctor-ratings/19936/Dr-Mark-MacUmber-CHICAGO-IL.html,Dr. Mark MacUmber,5,1,Family Doctor / G.P.
Dr. Usherhoff and staff was wonderful throughout every visit. I highly recommend going here! It is well worth every penny. Believe me...I was the type that was so sc... Read more,ratemds.com/doctor-ratings/67425/Dr-Jerome-Usherhoff-Chicago-IL.html,Dr. Jerome Usherhoff,5,1,Family Doctor / G.P.
Just great!,ratemds.com/doctor-ratings/124747/Dr-Didi-Emokpare-Chicago-IL.html,Dr. Didi Emokpare,4.67,1,Family Doctor / G.P.
This doctor is very kind hearted and will make your visit extremely pleasurable. She is a very knowledgeable Nurse Practitioner.,ratemds.com/doctor-ratings/126336/Dr-Marcia-Calandra-Chicago-IL.html,Dr. Marcia Calandra,4.67,1,Family Doctor / G.P.
"we COULDNT ASK FOR A GREATER DOC! MY CHILDREN AND MYSELF HAVING BEEN SEEING DR. AMSTADT FOR MANY YEARS,SHE LISTENS TO US, SHE CARES ABOUT OUR WELL BEING AND ALWAYS T... Read more",ratemds.com/doctor-ratings/29403/Dr-Christine-Amstadt-Chicago-IL.html,Dr. Christine Amstadt,5,1,Family Doctor / G.P.
"He is a very thorough Doctor. He is fairly new in his practice, but he's good.",ratemds.com/doctor-ratings/93201/Dr-Michael+L.-Fessenden-Chicago-IL.html,Dr. Michael L. Fessenden,4.67,1,Family Doctor / G.P.
Always helpful and respectful. He also speaks Spanish.,ratemds.com/doctor-ratings/14581/Dr-Estevan+G.-Roy-CHICAGO-IL.html,Dr. Estevan G. Roy,5,1,Family Doctor / G.P.
"Dr. Perry just moved to Milwaukee, which is tragic. He's the best doctor I ever had.",ratemds.com/doctor-ratings/2621/Dr-Marcus-Perry-Chicago-IL.html,Dr. Marcus Perry,5,1,Family Doctor / G.P.
"This dr. is basically a lunatic! He is self medicated by his own admission, I.E. Soma, Norco, and Ambien, and he endangered my life by cutting me off a medication th... Read more",ratemds.com/doctor-ratings/3310516/Dr-JERROLD+J.-SCHWARTZ-Chicago-IL.html,Dr. Jerrold J. Schwartz,1.25,1,Family Doctor / G.P.
"Dr. Fritz is probably the worst doctor I have ever seen. She ""examines"" you from across the room, doesn't listen to what you have told her about your symptoms, treat... Read more",ratemds.com/doctor-ratings/742246/Dr-Heather+T.-Fritz-Chicago-IL.html,Dr. Heather T. Fritz,1.25,1,Family Doctor / G.P.
"the service was terrible, not helpfull at all. Made it even worse",ratemds.com/doctor-ratings/139701/Dr-Szymanski-CHICAGO-IL.html,Dr. Szymanski,1.25,1,Family Doctor / G.P.
"Worst Dr, makes you wait 2 or 3 hours & it's not like he has full of patients, im the only one",ratemds.com/doctor-ratings/474029/Dr-Eliecer-Cotes-Chicago-IL.html,Dr. Eliecer Cotes,1.25,1,Family Doctor / G.P.
I have been going to this Dr.Racho for over a year and they are always misplacing my file. I leave there confused and when I request copies of tests and or input on ... Read more,ratemds.com/doctor-ratings/480709/Dr-Zenaida+E.-Racho-Chicago-IL.html,Dr. Zenaida E. Racho,1.13,2,Family Doctor / G.P.
He DOESN'T care about his patients. He rushes people off and just want to take your money. I also feel like he bully Chinese people who doesn't speak English when ... Read more,ratemds.com/doctor-ratings/474695/Dr-SAMUEL+D.-Leung-Chicago-IL.html,Dr. SAMUEL D. Leung,1,3,Family Doctor / G.P.
did not return phone calls very rude and not professional,ratemds.com/doctor-ratings/3247800/Dr-JAN-WIACEK-Chicago-IL.html,Dr. Jan Wiacek,1,1,Family Doctor / G.P.
Definitely not a good experience seeing Dr. Hanjrah. I literally waited almost an hour for my scheduled appointment. I waited about 30 minutes in the waiting room a... Read more,ratemds.com/doctor-ratings/405594/Dr-Sagina-Hanjrah-Chicago-IL.html,Dr. Sagina Hanjrah,1,1,Family Doctor / G.P.
This man has the most unprofessional ghetto practice I have ever seen in my life. My first meeting with this doctor should have been my 1st warning of his incompeten... Read more,ratemds.com/doctor-ratings/493401/Dr-James+B.-Achebe-CHICAGO-IL.html,Dr. James B. Achebe,1,1,Family Doctor / G.P.
She went on vacation and didn't have a replacement Dr. to see her patients. everyone had to wait a week for her to return. I came in because I had a motorcycle accid... Read more,ratemds.com/doctor-ratings/479282/Dr-Adelina+D.-Moya-Chicago-IL.html,Dr. Adelina D. Moya,1,1,Family Doctor / G.P.
"DO NOT GO HERE. INCOMPETENT STAFF ACTUALLY GAVE ME THE WRONG SHOT! The ""nurse"" (who i suspect was the receptionist) actually read the chart incorrectly and gave me t... Read more",ratemds.com/doctor-ratings/478996/Dr-William+E.-Otero-CHICAGO-IL.html,Dr. William E. Otero,1,1,Family Doctor / G.P.
"Dr. Gandhi gives the medical profession as a whole, a bad name. She shows every trait unbecoming of a physician. I have never felt so insulted by an individual. Dr. ... Read more",ratemds.com/doctor-ratings/2543155/Dr-RUJUTA+R.-GANDHI-CHICAGO-IL.html,Dr. Rujuta R. Gandhi,1,1,Family Doctor / G.P.
blathers on about selling you suppliments. seems knowledgeable until he sends you to this hack chiropractor psychic. that was the end for me. he should find a new li... Read more,ratemds.com/doctor-ratings/886610/Dr-Marco-Delacruz-Chicago-IL.html,Dr. Marco Delacruz,1,1,Family Doctor / G.P.
I would recommend any pregnant women to stay away from this doctor. In my opinion she is a quack. She doesn't listen and does not communicate.,ratemds.com/doctor-ratings/2975397/Dr-ALICIA-MILAN-FLANIGAN-CHICAGO-IL.html,Dr. Alicia Milan-Flanigan,1,1,Family Doctor / G.P.
"lazy,not shown up, not making round, send students to see patients",ratemds.com/doctor-ratings/3033951/Dr-VAIDOTAS-PETRUS-Chicago-IL.html,Dr. Vaidotas Petrus,1,1,Family Doctor / G.P.
"Minimal knowledge, shows no compassion, extremely unprofessional. ",ratemds.com/doctor-ratings/3166619/Dr-TITILAYO+C.-ABIONA-Chicago-IL.html,Dr. Titilayo C. Abiona,1,1,Family Doctor / G.P.
She is extremely rude and doesn't listen to problem fully,ratemds.com/doctor-ratings/3593906/Dr-UZMA-TANVEER-CHICAGO-IL.html,Dr. Uzma Tanveer,1,1,Family Doctor / G.P.
Not a good doctor. Gave bad advise amd opted out of seeing gender results for my baby. Her receptionist is uncomfortably unwelcoming and the doctor is not very nice.... Read more,ratemds.com/doctor-ratings/3282709/Dr-Kathleen+H.-Maloul-Chicago-IL.html,Dr. Kathleen H. Maloul,1,1,Family Doctor / G.P.
"Due to being 15 min late, the assistant stated that Dr Franco couldn't see me anymore because he had to leave and had other priorities. I had been feeling really sic... Read more",ratemds.com/doctor-ratings/3276811/Dr-MANUEL+A.-FRANCO-Chicago-IL.html,Dr. Manuel A. Franco,1,1,Family Doctor / G.P.
Will make you wait forever to tell you nothing,ratemds.com/doctor-ratings/3215763/Dr-DOROTHY-DSCHIDA-Chicago-IL.html,Dr. Dorothy Dschida,1,1,Family Doctor / G.P.
"he may be an attending physcian, but always has someone else do his dirty work",ratemds.com/doctor-ratings/472094/Dr-Khaja-Aliuddin-Chicago-IL.html,Dr. Khaja Aliuddin,1,1,Family Doctor / G.P.
Dr. Sandoval is the best. He also has a great staff. They were all very helpful.,ratemds.com/doctor-ratings/3346473/Dr-CARLOS-SANDOVAL-HERRERA-Chicago-IL.html,Dr. Carlos Sandoval-Herrera,4.94,38,Gynecologist (OBGYN)
"I recently had a hysterectomy due to very large fibroids. Dr shashoua was the best. He calmed my fears, explained everything clearly in a way I could understand and ... Read more",ratemds.com/doctor-ratings/125547/Dr-Abraham-Shashoua-Chicago-IL.html,Dr. Abraham Shashoua,4.85,11,Gynecologist (OBGYN)
